Date,Year,Venue,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League
1984-02-25,1984,Santiago Bernabéu Stadium,1,2,Real Madrid,,,Maradona,"Juanito, Santillana",La Liga
1984-09-02,1984,Santiago Bernabéu Stadium,3,0,Barcelona,Ángel,,"Archibald, Calderé",,La Liga
1984-12-30,1984,Camp Nou,3,2,Barcelona,,,"Gerardo, Migueli, Vigo","Sanchís, Butragueño",La Liga
1985-11-09,1985,Camp Nou,2,0,Barcelona,,,"Marcos, Calderé",,La Liga
1986-03-08,1986,Santiago Bernabéu Stadium,1,3,Real Madrid,,,Amarilla,"Maceda, Valdano, Butragueño",La Liga
1986-10-08,1986,Santiago Bernabéu Stadium,1,1,Draw,,,Pedraza,Sánchez,La Liga
1987-01-31,1987,Camp Nou,3,2,Barcelona,,,"Lineker, Lineker, Lineker","Valdano, Sánchez",La Liga
1987-04-12,1987,Santiago Bernabéu Stadium,0,0,Draw,,,,,La Liga
1987-05-23,1987,Camp Nou,2,1,Barcelona,,,"Lineker, Roberto",Sánchez,La Liga
1988-01-02,1988,Santiago Bernabéu Stadium,1,2,Real Madrid,,,Schuster,"Sánchez, Sánchez",La Liga
1988-04-30,1988,Camp Nou,2,0,Barcelona,,,"Carrasco, Lineker",,La Liga
1988-10-22,1988,Santiago Bernabéu Stadium,2,3,Real Madrid,,,"Bakero, Carrasco","Sánchez, Aldana, Gordillo",La Liga
1989-04-01,1989,Camp Nou,0,0,Draw,,,,,La Liga
1989-10-07,1989,Camp Nou,3,1,Barcelona,,,"Salinas, Koeman, Koeman",Sánchez,La Liga
1990-02-15,1990,Santiago Bernabéu Stadium,2,3,Real Madrid,,,"Salinas, Salinas","Míchel, Butragueño, Sánchez",La Liga
1991-01-19,1991,Camp Nou,2,1,Barcelona,Spasić,,Laudrup,Butragueño,La Liga
1991-06-08,1991,Santiago Bernabéu Stadium,0,1,Real Madrid,,,,Aldana,La Liga
