Date,Venue,League,Winner,Scorer,Team,Real_Madrid_Own_Goal,Barcelona_Own_Goal
15-04-1962,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,Eulogio Martinez,Barcelona,,
22-04-1962,Camp Nou,Copa Del Rey,Real Madrid,Pereda,Barcelona,,
22-04-1962,Camp Nou,Copa Del Rey,Real Madrid,del Sol,Real Madrid,,
22-04-1962,Camp Nou,Copa Del Rey,Real Madrid,Puskas,Real Madrid,,
22-04-1962,Camp Nou,Copa Del Rey,Real Madrid,Gento,Real Madrid,,
30-09-1962,Santiago Bernabeu Stadium,La Liga,Real Madrid,Stefano,Real Madrid,,
30-09-1962,Santiago Bernabeu Stadium,La Liga,Real Madrid,Stefano,Real Madrid,,
27-01-1963,Camp Nou,La Liga,Real Madrid,Re,Barcelona,,
27-01-1963,Camp Nou,La Liga,Real Madrid,Puskas,Real Madrid,,
27-01-1963,Camp Nou,La Liga,Real Madrid,Puskas,Real Madrid,,
27-01-1963,Camp Nou,La Liga,Real Madrid,Puskas,Real Madrid,,
27-01-1963,Camp Nou,La Liga,Real Madrid,Stefano,Real Madrid,,
27-01-1963,Camp Nou,La Liga,Real Madrid,Gento,Real Madrid,,
15-12-1963,Santiago Bernabeu Stadium,La Liga,Real Madrid,Puskas,Real Madrid,,
15-12-1963,Santiago Bernabeu Stadium,La Liga,Real Madrid,Puskas,Real Madrid,,
15-12-1963,Santiago Bernabeu Stadium,La Liga,Real Madrid,Puskas,Real Madrid,,
15-12-1963,Santiago Bernabeu Stadium,La Liga,Real Madrid,Stefano,Real Madrid,,
30-03-1964,Camp Nou,La Liga,Real Madrid,Zaldua,Barcelona,,
30-03-1964,Camp Nou,La Liga,Real Madrid,Gento,Real Madrid,,
30-03-1964,Camp Nou,La Liga,Real Madrid,Puskas,Real Madrid,,
08-11-1964,Santiago Bernabeu Stadium,La Liga,Real Madrid,Re,Barcelona,,
08-11-1964,Santiago Bernabeu Stadium,La Liga,Real Madrid,Amancio,Real Madrid,,
08-11-1964,Santiago Bernabeu Stadium,La Liga,Real Madrid,Amancio,Real Madrid,,
08-11-1964,Santiago Bernabeu Stadium,La Liga,Real Madrid,Amancio,Real Madrid,,
08-11-1964,Santiago Bernabeu Stadium,La Liga,Real Madrid,Serena,Real Madrid,,
28-02-1965,Camp Nou,La Liga,Real Madrid,Re,Barcelona,,
28-02-1965,Camp Nou,La Liga,Real Madrid,Pirri,Real Madrid,,
28-02-1965,Camp Nou,La Liga,Real Madrid,Serena,Real Madrid,,
19-12-1965,Santiago Bernabeu Stadium,La Liga,Barcelona,Fuste,Barcelona,,
19-12-1965,Santiago Bernabeu Stadium,La Liga,Barcelona,Fuste,Barcelona,,
19-12-1965,Santiago Bernabeu Stadium,La Liga,Barcelona,Zaldua,Barcelona,,
19-12-1965,Santiago Bernabeu Stadium,La Liga,Barcelona,Ruiz,Real Madrid,,
27-03-1966,Camp Nou,La Liga,Barcelona,Rife,Barcelona,,
27-03-1966,Camp Nou,La Liga,Barcelona,Zaballa,Barcelona,,
27-03-1966,Camp Nou,La Liga,Barcelona,Gento,Real Madrid,,
20-11-1966,Santiago Bernabeu Stadium,La Liga,Real Madrid,Veloso,Real Madrid,,
19-03-1967,Camp Nou,La Liga,Barcelona,Fuste,Barcelona,,
19-03-1967,Camp Nou,La Liga,Barcelona,Fuste,Barcelona,,
19-03-1967,Camp Nou,La Liga,Barcelona,Amancio,Real Madrid,,
10-12-1967,Santiago Bernabeu Stadium,La Liga,Draw,Zaldua,Barcelona,,
10-12-1967,Santiago Bernabeu Stadium,La Liga,Draw,Gento,Real Madrid,,
09-04-1968,Camp Nou,La Liga,Draw,Zaldua,Barcelona,,
09-04-1968,Camp Nou,La Liga,Draw,Pirri,Real Madrid,,
11-07-1968,Santiago Bernabeu Stadium,Copa Del Rey,Barcelona,,Real Madrid,Zunzunegui,
16-11-1968,Santiago Bernabeu Stadium,La Liga,Real Madrid,Zaldua,Barcelona,,
16-11-1968,Santiago Bernabeu Stadium,La Liga,Real Madrid,Pirri,Real Madrid,,
16-11-1968,Santiago Bernabeu Stadium,La Liga,Real Madrid,Luis,Real Madrid,,
09-03-1969,Camp Nou,La Liga,Draw,Zaldua,Barcelona,,
09-03-1969,Camp Nou,La Liga,Draw,Gento,Real Madrid,,
14-09-1969,Santiago Bernabeu Stadium,La Liga,Draw,Bustillo,Barcelona,,
14-09-1969,Santiago Bernabeu Stadium,La Liga,Draw,Bustillo,Barcelona,,
14-09-1969,Santiago Bernabeu Stadium,La Liga,Draw,Rexach,Barcelona,,
14-09-1969,Santiago Bernabeu Stadium,La Liga,Draw,Fleitas,Real Madrid,,
14-09-1969,Santiago Bernabeu Stadium,La Liga,Draw,Fleitas,Real Madrid,,
14-09-1969,Santiago Bernabeu Stadium,La Liga,Draw,Gento,Real Madrid,,
28-12-1969,Camp Nou,La Liga,Barcelona,Gallego,Barcelona,,
30-05-1970,Santiago Bernabeu Stadium,Copa Del Rey,Real Madrid,Grosso,Real Madrid,,
30-05-1970,Santiago Bernabeu Stadium,Copa Del Rey,Real Madrid,Amancio,Real Madrid,,
06-06-1970,Camp Nou,Copa Del Rey,Draw,Rexach,Barcelona,,
06-06-1970,Camp Nou,Copa Del Rey,Draw,Amancio,Real Madrid,,
25-10-1970,Santiago Bernabeu Stadium,La Liga,Barcelona,Zabalza,Barcelona,,
14-02-1971,Camp Nou,La Liga,Real Madrid,Grande,Real Madrid,,
27-11-1971,Santiago Bernabeu Stadium,La Liga,Draw,Asensi,Barcelona,,
27-11-1971,Santiago Bernabeu Stadium,La Liga,Draw,Grosso,Real Madrid,,
03-04-1972,Camp Nou,La Liga,Barcelona,Asensi,Barcelona,,
01-10-1972,Camp Nou,La Liga,Barcelona,Barrios,Barcelona,,
24-02-1973,Santiago Bernabeu Stadium,La Liga,Draw,No Goals,NA,,
07-10-1973,Camp Nou,La Liga,Draw,No Goals,NA,,
16-02-1974,Santiago Bernabeu Stadium,La Liga,Barcelona,Asensi,Barcelona,,
16-02-1974,Santiago Bernabeu Stadium,La Liga,Barcelona,Asensi,Barcelona,,
16-02-1974,Santiago Bernabeu Stadium,La Liga,Barcelona,Cruyff,Barcelona,,
16-02-1974,Santiago Bernabeu Stadium,La Liga,Barcelona,Carlos,Barcelona,,
16-02-1974,Santiago Bernabeu Stadium,La Liga,Barcelona,Sotil,Barcelona,,
29-06-1974,Vicente Calderon Stadium,Copa Del Rey,Real Madrid,Santillana,Real Madrid,,
29-06-1974,Vicente Calderon Stadium,Copa Del Rey,Real Madrid,Rubinan,Real Madrid,,
29-06-1974,Vicente Calderon Stadium,Copa Del Rey,Real Madrid,Aguilar,Real Madrid,,
29-06-1974,Vicente Calderon Stadium,Copa Del Rey,Real Madrid,Pirri,Real Madrid,,
04-01-1975,Santiago Bernabeu Stadium,La Liga,Real Madrid,Roberto Martinez,Real Madrid,,
11-05-1975,Camp Nou,La Liga,Draw,No Goals,NA,,
27-12-1975,Camp Nou,La Liga,Barcelona,Neeskens,Barcelona,,
27-12-1975,Camp Nou,La Liga,Barcelona,Rexach,Barcelona,,
27-12-1975,Camp Nou,La Liga,Barcelona,Pirri,Real Madrid,,
30-04-1976,Santiago Bernabeu Stadium,La Liga,Barcelona,Rexach,Barcelona,,
30-04-1976,Santiago Bernabeu Stadium,La Liga,Barcelona,Heredia,Barcelona,,
19-09-1976,Camp Nou,La Liga,Barcelona,Marcial,Barcelona,,
