Year,Venue,Date,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League,source_file
2012,Camp Nou,23-08-2012,3,2,Barcelona,,,"Pedro, Xavi, Messi","C.Ronaldo, Maria",Supercopa,supercopa
2012,Santiago Bernabeu Stadium,29-08-2012,1,2,Real Madrid,,,Messi,"Higuain, C.Ronaldo",Supercopa,supercopa
2012,Camp Nou,07-10-2012,2,2,Draw,,,"Messi, Messi","C.Ronaldo, C.Ronaldo",La Liga,la_liga
2013,Santiago Bernabeu Stadium,30-01-2013,1,1,Draw,,,Fabregas,Varane,Copa Del Rey,copa_del_rey
2013,Camp Nou,26-02-2013,1,3,Real Madrid,,,Alba,"C.Ronaldo, C.Ronaldo, Varane",Copa Del Rey,copa_del_rey
2013,Santiago Bernabeu Stadium,02-03-2013,1,2,Real Madrid,,,Messi,"Benzema, Ramos",La Liga,la_liga
2013,Camp Nou,26-10-2013,2,1,Barcelona,,,"Neymar, Sanchez",Jese,La Liga,la_liga
2014,Santiago Bernabeu Stadium,23-03-2014,4,3,Barcelona,,,"Iniesta, Messi, Messi, Messi","Benzema, Benzema, C.Ronaldo",La Liga,la_liga
2014,Mestalla Stadium,16-04-2014,1,2,Real Madrid,,,Bartra,"di Maria, Bale",Copa Del Rey,copa_del_rey
2014,Santiago Bernabeu Stadium,25-10-2014,1,3,Real Madrid,,,Neymar,"C.Ronaldo, Pepe, Benzema",La Liga,la_liga
2015,Camp Nou,22-03-2015,2,1,Barcelona,,,"Mathieu, L.A.Suarez",C.Ronaldo,La Liga,la_liga
2015,Santiago Bernabeu Stadium,21-11-2015,4,0,Barcelona,,,"L.A.Suarez, L.A.Suarez, Neymar, Iniesta",,La Liga,la_liga
2016,Camp Nou,02-04-2016,1,2,Real Madrid,,,Pique,"Benzema, C.Ronaldo",La Liga,la_liga
2016,Camp Nou,03-12-2016,1,1,Draw,,,L.A.Suarez,Ramos,La Liga,la_liga
2017,Santiago Bernabeu Stadium,23-04-2017,3,2,Barcelona,,,"Messi, Messi, Rakitic","Casemiro, Rodriguez",La Liga,la_liga
2017,Camp Nou,13-08-2017,1,3,Real Madrid,,Pique,Messi,"C.Ronaldo, Asensio",Supercopa,supercopa
2017,Santiago Bernabeu Stadium,16-08-2017,0,2,Real Madrid,,,,"Asensio, Benzema",Supercopa,supercopa
2017,Santiago Bernabeu Stadium,23-12-2017,3,0,Barcelona,,,"L.A.Suarez, Messi, Vidal",,La Liga,la_liga
2018,Camp Nou,06-05-2018,2,2,Draw,,,"L.A.Suarez, Messi","C.Ronaldo, Bale",La Liga,la_liga
2018,Camp Nou,28-10-2018,5,1,Barcelona,,,"Coutinho, L.A.Suarez, L.A.Suarez, L.A.Suarez, Vidal",Marcelo,La Liga,la_liga
2019,Camp Nou,06-02-2019,1,1,Draw,,,Malcom,Vazquez,Copa Del Rey,copa_del_rey
2019,Santiago Bernabeu Stadium,27-02-2019,3,0,Barcelona,Varane,,"L.A.Suarez, L.A.Suarez",,Copa Del Rey,copa_del_rey
2019,Santiago Bernabeu Stadium,02-03-2019,1,0,Barcelona,,,Rakitic,,La Liga,la_liga
2019,Camp Nou,18-12-2019,0,0,Draw,,,,,La Liga,la_liga
2020,Santiago Bernabeu Stadium,01-03-2020,0,2,Real Madrid,,,,"Vinicius, Diaz",La Liga,la_liga
2020,Camp Nou,24-10-2020,1,3,Real Madrid,,,Fati,"Valverde, Ramos, Modric",La Liga,la_liga
2021,Santiago Bernabeu Stadium,10-04-2021,1,2,Real Madrid,,,Mingueza,"Benzema, Kroos",La Liga,la_liga
2021,Camp Nou,24-10-2021,1,2,Real Madrid,,,Aguero,"Alaba, Vazquez",La Liga,la_liga
2022,King Fahd Stadium,12-01-2022,2,3,Real Madrid,,,"Jong, Fati","Vinicius, Benzema, Valverde",Supercopa,supercopa
2022,Santiago Bernabeu Stadium,20-03-2022,4,0,Barcelona,,,"Aubameyang, Aubameyang, Araujo, Torres",,La Liga,la_liga
2022,Santiago Bernabeu Stadium,16-10-2022,1,3,Real Madrid,,,Torres,"Benzema, Valverde, Rodrygo",La Liga,la_liga
2023,King Fahd Stadium,15-01-2023,3,1,Barcelona,,,"Gavi, Lewandowski, Pedri",Benzema,Supercopa,supercopa
2023,Santiago Bernabeu Stadium,02-03-2023,1,0,Barcelona,Militao,,,,Copa Del Rey,copa_del_rey
2023,Camp Nou,19-03-2023,2,1,Barcelona,,Araujo,"Roberto, Kessie",,La Liga,la_liga
2023,Camp Nou,05-04-2023,0,4,Real Madrid,,,,"Vinicius, Benzema, Benzema, Benzema",Copa Del Rey,copa_del_rey
2023,Camp Nou,28-10-2023,1,2,Real Madrid,,,Gundogan,"Bellingham, Bellingham",La Liga,la_liga
2024,Al -Awwal Park,14-01-2024,1,4,Real Madrid,,,Lewandowski,"Vinicius, Vinicius, Vinicius, Rodrygo",Supercopa,supercopa
2024,Santiago Bernabeu Stadium,21-04-2024,2,3,Real Madrid,,,"Christensen, Lopez","Vinicius, Vazquez, Bellingham",La Liga,la_liga
2024,Santiago Bernabeu Stadium,26-10-2024,4,0,Barcelona,,,"Lewandowski, Lewandowski, Yamal, Raphinha",,La Liga,la_liga
2025,King Abdullah Sport City,12-01-2025,5,2,Barcelona,,,"Yamal, Raphinha, Raphinha, Balde, Lewandowski","Mbappe, Rodrygo",Supercopa,supercopa
