Year,Venue,Date,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League,source_file
2012,Santiago Bernabéu Stadium,2012-08-29,1,2,Real Madrid,,,Messi,"Higuaín, Ronaldo",Supercopa,supercopa
2012,Camp Nou,2012-10-07,2,2,Draw,,,"Messi, Messi","Ronaldo, Ronaldo",La Liga,la_liga
2013,Santiago Bernabéu Stadium,2013-01-30,1,1,Draw,,,Fàbregas,Varane,Copa Del Rey,copa_del_rey
2013,Camp Nou,2013-02-26,1,3,Real Madrid,,,Alba,"Ronaldo, Ronaldo, Varane",Copa Del Rey,copa_del_rey
2013,Santiago Bernabéu Stadium,2013-03-02,1,2,Real Madrid,,,Messi,"Benzema, Ramos",La Liga,la_liga
2013,Camp Nou,2013-10-26,2,1,Barcelona,,,"Neymar, Sánchez",Jesé,La Liga,la_liga
2014,Santiago Bernabéu Stadium,2014-03-23,4,3,Barcelona,,,"Iniesta, Messi, Messi, Messi","Benzema, Benzema, Ronaldo",La Liga,la_liga
2014,Mestalla Stadium,2014-04-16,1,2,Real Madrid,,,Bartra,"di María, Bale",Copa Del Rey,copa_del_rey
2014,Santiago Bernabéu Stadium,2014-10-25,1,3,Real Madrid,,,Neymar,"Ronaldo, Pepe, Benzema",La Liga,la_liga
2015,Camp Nou,2015-03-22,2,1,Barcelona,,,"Mathieu, Suárez",Ronaldo,La Liga,la_liga
2015,Santiago Bernabéu Stadium,2015-11-21,4,0,Barcelona,,,"Suárez, Suárez, Neymar, Iniesta",,La Liga,la_liga
2016,Camp Nou,2016-04-02,1,2,Real Madrid,,,Piqué,"Benzema, Ronaldo",La Liga,la_liga
2016,Camp Nou,2016-12-03,1,1,Draw,,,Suárez,Ramos,La Liga,la_liga
2017,Santiago Bernabéu Stadium,2017-04-23,3,2,Barcelona,,,"Messi, Messi, Rakitić","Casemiro, Rodríguez",La Liga,la_liga
2017,Camp Nou,2017-08-13,1,3,Real Madrid,,Piqué,Messi,"Ronaldo, Asensio",Supercopa,supercopa
2017,Santiago Bernabéu Stadium,2017-08-16,0,2,Real Madrid,,,,"Asensio, Benzema",Supercopa,supercopa
2017,Santiago Bernabéu Stadium,2017-12-23,3,0,Barcelona,,,"Suárez, Messi, Vidal",,La Liga,la_liga
2018,Camp Nou,2018-05-06,2,2,Draw,,,"Suárez, Messi","Ronaldo, Bale",La Liga,la_liga
2018,Camp Nou,2018-10-28,5,1,Barcelona,,,"Coutinho, Suárez, Suárez, Suárez, Vidal",Marcelo,La Liga,la_liga
2019,Camp Nou,2019-02-06,1,1,Draw,,,Malcom,Vázquez,Copa Del Rey,copa_del_rey
2019,Santiago Bernabéu Stadium,2019-02-27,3,0,Barcelona,Varane,,"Suarez, Suarez",,Copa Del Rey,copa_del_rey
2019,Santiago Bernabéu Stadium,2019-03-02,1,0,Barcelona,,,Rakitić,,La Liga,la_liga
2019,Camp Nou,2019-12-18,0,0,Draw,,,,,La Liga,la_liga
2020,Santiago Bernabéu Stadium,2020-03-01,0,2,Real Madrid,,,,"Vinícius, Díaz",La Liga,la_liga
2020,Camp Nou,2020-10-24,1,3,Real Madrid,,,Fati,"Valverde, Ramos, Modrić",La Liga,la_liga
2021,Santiago Bernabéu Stadium,2021-04-10,1,2,Real Madrid,,,Mingueza,"Benzema, Kroos",La Liga,la_liga
2021,Camp Nou,2021-10-24,1,2,Real Madrid,,,Agüero,"Alaba, Vázquez",La Liga,la_liga
2022,King Fahd Stadium,2022-01-12,2,3,Real Madrid,,,"Jong, Fati","Vinícius, Benzema, Valverde",Supercopa,supercopa
2022,Santiago Bernabéu Stadium,2022-03-20,4,0,Barcelona,,,"Aubameyang, Aubameyang, Araújo, Torres",,La Liga,la_liga
2022,Santiago Bernabéu Stadium,2022-10-16,1,3,Real Madrid,,,Torres,"Benzema, Valverde, Rodrygo",La Liga,la_liga
2023,King Fahd Stadium,2023-01-15,3,1,Barcelona,,,"Gavi, Lewandowski, Pedri",Benzema,Supercopa,supercopa
2023,Santiago Bernabéu Stadium,2023-03-02,1,0,Barcelona,Militão,,,,Copa Del Rey,copa_del_rey
2023,Camp Nou,2023-03-19,2,1,Barcelona,,Araújo,"Roberto, Kessié",,La Liga,la_liga
2023,Camp Nou,2023-04-05,0,4,Real Madrid,,,,"Vinícius,  Benzema,  Benzema,  Benzema ",Copa Del Rey,copa_del_rey
2023,Camp Nou,2023-10-28,1,2,Real Madrid,,,Gündoğan,"Bellingham, Bellingham",La Liga,la_liga
2024,Al -Awwal Park,2024-01-14,1,4,Real Madrid,,,Lewandowski,"Vinicius, Vinicius, Vinicius, Rodrygo",Supercopa,supercopa
2024,Santiago Bernabéu Stadium,2024-04-21,2,3,Real Madrid,,,"Christensen, López","Vinícius, Vázquez, Bellingham",La Liga,la_liga
2024,Santiago Bernabéu Stadium,2024-10-26,4,0,Barcelona,,,"Lewandowski, Lewandowski, Yamal, Raphinha",,La Liga,la_liga
2025,King Abdullah Sport City,2025-01-12,5,2,Barcelona,,,"Yamal, Raphinha, Raphinha, Balde, Lewandowski","Mbappé, Rodrygo",Supercopa,supercopa
